tweet,sentiment
i forgot how sad the first episode of the 5th season of dexter is.,negative
oct. 2 is almost too far away for me to wait for the return of !,negative
"(off topic) - there is only 3 episodes on the first disk of . please hurry, with the 2nd",neutral
"is finally catching up to me with . i'm only up to season 4, but he has almost finished season 2 today home, ill.",neutral
"i downloaded the first season of , gonna start watching the 2nd episode. time to tweet ^^",neutral
let's see if i can wrap up season three of tonight: only 1 more episode to go till the season finale. roll on series four please!,neutral
1st rule of the code: don't get caught,neutral
"""""tonight's the night""""",positive
"is such a good show, i may order showtime just because of it.",positive
don't feel obliged to discuss tonight. living it large in brighton so please use direct messages....,positive
"make sure you & the girls watch seasons 1-5 of , before season 6 premieres oct 2. seasons 1 & 4 are the best!",positive
addicted to ... what's new. almost done with season 5 and i just got it on thursday!,positive
barely going to sleep after watching all evening! i love this show!,positive
"beer and chicken night! watching till the working hours (11.59pm - 8 am) maybe we should reserve the nickname """"dexter""""? might be fun",positive
enjoying a night of with :),positive
"finally starting the 5th season of . see ya later, weekend!",positive
fuck everyone else is my friend tonight. bring it season 4,positive
the complete 5th season of is available on dvd today! or you could just watch it on demand..,positive
"yeah boiii tonight, so pissed that there's only 3 epsdes until it ends. oh well on the up side season 6 starts soon...ish",positive
i'm going tuesday to the house of blues to see a$ap rocky,neutral
"i have a real dilemma here, so tomorrow is the a$ap rocky concert in phoenix but i got called back to start working tomorrow at bianchi's",neutral
whoever's going to a$ap rocky wit me on the 8th better buy their tickets like today. i think imma get mine soon,neutral
""""" : who wants to go to a a$ap rocky concert with me on the 14th or 15th ?!?!?"""" you don't have a choice on who you taking we going!",neutral
"i see you're in dallas & a fan of a$ap rocky, email us ( ) for a great oppo to attend show at hob on fri!",positive
is coming up this weekend!! we're super excited! playing the blue stage on sat night right before a$ap rocky!,positive
ahhh! my mom said yes for me to go the a$ap rocky concert!! nov 8th we out!,positive
it looks like my brother is going to see a$ap rocky tomorrow sigh his life needs to stop being significantly better than mine,positive
may i ask what's so cool about a$ap rocky?,positive
oooh yha and the dmc and a$ap rocky one is 2-4th,positive
merril hoge is stupid. i'm sick of hearing what tebow can't do. he may not be a right now but it took aaron rodgers 3 yrs to start,negative
is it possible for aaron rodgers to suffer a career ending injury tonight? just curious.,negative
"aaron rodgers jersey battery room, under the windmill. wagnoli - 4 august 2011 - blog - designer wedding dresses sale,",neutral
"and on the very first play of the night, aaron rodgers is int'd by udfa cb brandian ross, who returns it for a pick-six touchdown.",neutral
da way aaron rodgers lookin greenbay may take it again,neutral
"for those just tuning in, have linked those two games as pkg. to see aaron rodgers nov 6, you gotta buy tix ...",neutral
"finished qbs. if the draft were today and i got to pick first every time, i'd take arian foster, roddy white, jason witten, n aaron rodgers",neutral
sensationalism at its finest. next thing you know we'll be hearing that graham harrell may take aaron rodgers' spot. smh.,positive
aaron rodgers may be the best qb in the nfl and he is still improving -yahoo sports! nigga fuck with my teamm,positive
"aaron rodgers totally did the a.i. """"practice?"""" routine for the media today. it must be good to be a champion",positive
"all you need is ryan leaf and you got a show. rt : aaron rodgers, kurt warner and kyle kendrick are all in the jungle tomorrow.",positive
browns force aaron rodgers and the packers to go 3&out on 1st possession. browns are better than the steelers at one thing at least.,positive
i saw a photo of aaron rodgers with some awesome scruff going on today. did i mention he was at the white house today? iz cool.,positive
"so far i have drafted aaron rodgers at overall, and then at in the 2nd round, matt forte. not bad.",positive
"the score may have been 38-26, but aaron rodgers kept right up statistically with favre. damn.",positive
today is the day we have been waiting for all summer: the day we see aaron rodgers on the field again. so excited.,positive
kainis! bukas na pala first day ng secret love (sungkyunkwan scandal) sa abs-cbn. eh may pasok kami bukas. diaje naman oh!,neutral
"mark the dates: miss earth 2012 coronation night nov 24, sat, live on starworld, 8pm. free-tv broadcast on sun, nov 25, 10am on abs-cbn.",neutral
"taking a nap, by 6 or 7 pm i'm going to abs-cbn. 5am flight tomorrow, !",neutral
we saw with last october 29 at abs-cbn hallway.,neutral
sungkyunkwan scandal on abs-cbn.. i just finished the series yesterday..:))))) i may sound like a spoiler now <evil laugh>,neutral
wow! thank you tanduay may replay ang sa abs-cbn. you're the best . rock on pilipinas!,positive
"at noon today, you'll know why tune in to abs-cbn to see the 1st of the biggest & d' brightest employer in ph",positive
everyone please watch asap on abs-cbn this sunday to see the beautiful :d,positive
"november super tour: nov 10-11: rockwell ten; nov 9, 16, 23: abs-cbn friday market. meet super tuyo and friends! see you! :-)",positive
thank you abs-cbn and bcwmh for the fantastic episode today. tomorrow again. i can't wait to...,positive
arrival of ship: arabian tahr port: abu dhabi time: nov 2 2012 6:11am (utc) (time of arrival/departure is the time the vessel app...,neutral
arrival of ship: mataf pride port: abu dhabi time: nov 2 2012 5:44am (utc) (time of arrival/departure is the time the vessel appr...,neutral
arrival of ship: nms 202 port: abu dhabi time: nov 2 2012 6:21am (utc) (time of arrival/departure is the time the vessel approach...,neutral
arrival of ship: sham port: abu dhabi time: nov 1 2012 6:27pm (utc) (time of arrival/departure is the time the vessel approaches ...,neutral
departure of ship: al dhafrah port: abu dhabi time: nov 2 2012 3:09am (utc) (time of arrival/departure is the time the vessel app...,neutral
departure of ship: ams 111 port: abu dhabi time: nov 2 2012 4:47am (utc) (time of arrival/departure is the time the vessel approa...,neutral
departure of ship: arabian oryx port: abu dhabi time: nov 2 2012 6:41am (utc) (time of arrival/departure is the time the vessel a...,neutral
departure of ship: jumbo spirit port: abu dhabi time: nov 2 2012 4:49am (utc) (time of arrival/departure is the time the vessel a...,neutral
departure of ship: sham port: abu dhabi time: nov 2 2012 4:09am (utc) (time of arrival/departure is the time the vessel approache...,neutral
departure of ship: stanford provider port: abu dhabi time: nov 2 2012 5:03am (utc) (time of arrival/departure is the time the ves...,neutral
"we may not win academy awards, but we will be the freaking people's choice dammit!!!",negative
"i'm just suggesting it for the sake of completeness, a la polaris's may 31st deadline & academy awards' dec. 31.",neutral
"have you seen lawless? if guy pearce doesn't get an oscar nomination for that, i may possibly give up on the academy awards..",neutral
"actors have the academy awards, recording artists have the grammys, and now..dj's have the gsa's!! - nominees announced tomorrow 10/9",neutral
seth mcfarlane set to host the 85th academy awards in february. what do you think of that choice?,neutral
"the 1st academy awards ceremony, presented by the academy of motion picture arts and sciences (ampas), honored...",neutral
the clown has broken the record and become the 1st film to win 12 brazilian academy awards yesterday.,neutral
"today's answer: stone has received 3 academy awards for his work on the films midnight express, platoon, and born on the fourth of july.",neutral
would your company like to the 3rd annual pnc bank academy awards? see attached for details.,neutral
the 1st black woman to ever host the academy awards was=> ! i want to be like her!,positive
fuck sat! act is where it's at! :d,negative
i don't want to take act tomorrow. ):,negative
"talking about act's && sat's, deciding where i want to go to college, applying to colleges and everything about college stresses me out.",negative
registering for my act's and sat's at the last minute -____- i am so tired,negative
is addicted to act. she just took one on saturday. and she just signed up for a third test.,neutral
oh iight i can dig it but how you going to act tomorrow night tho younging ?,neutral
also need to be at least accredated in act or rebt before the end of 4th yr.,neutral
finished signing up for the sat and act,neutral
oh man i thought the deadline for act was tomorrow i have until the 9th bless,neutral
nah i havnt knew about the adidas deal! u like it? i'm undecided.... where u watching game sat? i'm trying to get it off!,negative
cause my agent say those who wanna continue at adidas go to the office on monday 2pm! no other days to go alr! ask quick.,neutral
yeaa im still lookin smh...may have to go to the adidas store. the asian dudes wear em 24/7.,neutral
i think so ill bring it on monday is it the adidas,neutral
bring the adidas sock tomorrow,neutral
got the job in the mall ..now time to get the job at adidas tomorrow,neutral
i'll make my bid for the adidas predator tomorrow godwilling...,neutral
"....is going as that """"upwards kid"""" that he played so well on sunday night??!! ....with his prop/friend, """"adidas""""?",positive
even though nike is 10x better than adidas i'm still going to the adidas employee store tomorrow,positive
oh and p.s. big adidas warehouse sale tomorrow if you're interested!,positive
