tweet,sentiment
"lost - sony cell phone with holiday photos. early fri morning, montreal transit plaza or no. 13 bus to airport. reward! plz rt.",neutral
"well yeah, that's third parties. sony itself isn't putting out actual games for it. it's got 1-2 yrs of 3rd party support left.",neutral
sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info,negative
"have android tab and don't use phone much, in fact very little. may go the sony route then:-)",neutral
finally i get my ps4 back i sent it to sony cause my hdmi was mess up now i can play mg's tuesday yeaaaaa buddy,positive
"why won't u guys help me out?! im calling sony tomorrow! i want help but the ""support team"" 3 hours of tweeting and nothing",negative
sony's 1st teaser package for the launch of the original playstation seems to feature a dominatrix?,neutral
ind vs sl 3rd test day 3: cricket live score and sony six live streaming info: watch the live teleca...,neutral
"lol it's all about sony sony sony, if sony gave bj's u be the 1st",neutral
"official reason, because the game has to be on our region store and sony wont have it up til tuesday",neutral
"the only thing crazier than last-gen was 6th-gen. a 4-way console race between sega, nintendo, microsoft & sony. you'll never see that again",positive
when you remember sony is trying to make bible study mandatory on sunday nights,positive
i know it's coming coon but i don't get why it's taken so long for sony to release a remote for the ps4. all of the 3rd party ones are bad.,neutral
everyone is playing 3.0 and i'm just sitting here playing 2.0 because sony is making me wait until tomorrow.,positive
albert shum and i won 3rd in a sony design competition in early 90's...our design was a phone in which you push...,positive
at least sony will probably be selling it for cheap come black friday.,neutral
might keep sony monthly subs going beyond tomorrow....,neutral
"nope. tomorrow. wait... tomorrow's also when sony breaks out the next bundle of ps+ freebies. oh, what a lovely day!",positive
"uncharted 4: a thief's end launches for ps4 in north america on march 18, 2016, sony announced today.the latest game in the naughty d...",neutral
will be interesting to see if sony addresses the heat issues in the z5 - it may have found a work around,negative
is official. coming back to the sony family with destiny in hand sept 15th.,positive
"hi adam, you may need to contact playstation support or sony for details regarding this aspect of your purchase. ^to",neutral
oh my gosh actual acknowledgement from sony the vita exists.,positive
"mashable : sony's electronics division may be in a slump, but it doesn't plan on fading quietly into the night. to spur innovation at...",positive
sony's new smartwatch packs all its tech in the wristband: sony's electronics division may be in a slump...,neutral
"both of webb ones made less money than the 3rd raimi one, plus the success of marvel had sony scared i think",negative
and in comes sony with the letdown. only one color. clap it up... low and slow,negative
it's the disc tray reader that's all i know. my warranty is up so it would be 140 to get fixed by sony so may do it myself,neutral
"personally, i'm looking forward to sony's presser tomorrow about the new xperia :p",positive
"deal alert: here's a 3rd-party battery w/great reviews , compatible with sony cinealta & blackmagic ursa cams:",positive
aqua blue ps vita debuts in november - sony is introducing an aqua blue playstation vita and will begin selling it...,neutral
sony may release first smartphone with 4k screen - the star online,neutral
"do i know anyone in la with a red, sony c300 or sony fs7 that i could rent or borrow tomorrow night (9/2) for a few hours?",neutral
for any information on this we ask that you contact sony directly. apologies for the inconvenience this may cause. ^ai,neutral
rich guys can't make other rich guys look bad: it's the 1st law of rich guys or something.in the end even sony...,neutral
sony may just have made my new phone. that's a brilliant line up that nails practically everything. let's see what the reviews say.,positive
exactly why i'll never buy sony. those 1st class ass kissers are dick pulling the media for high scores on future games. lol.,negative
sony may have cut scenes from 's film to avoid angering the nfl!,neutral
but they make up for it in amazing 3rd party support. and there are a handful of good 1st party sony games,positive
new phone on saturday! torn between sony z3 or samsung a5 - which one would you recommend?,positive
do you see sony pulling shit like this? no.,neutral
sony went all out with this new high-tech smartphone. some may question if anyone needs this phone,neutral
we gonna hold a meetup on september 6th with sony and other japanese giants:,neutral
sony's pulling a by beginning pre-production on a goosebumps sequel even though the 1st one hasn't come out yet.,neutral
it's friday let's see if jl and sony can resolve the issue. gut feeling is that they will go silent.,neutral
"sony xperia z5, xperia z5 compact price, xperia z5 premium detailed: following the launch announcement on wednesday, sony has reveale...",neutral
"it may be planned obsolescence, but to me, it just means i don't buy stuff from companies like sony.",neutral
xperia z5 pre-orders available at the carphone warehouse: sony may have only announced its ne...,neutral
": international fair of electronic consumers of berlin, ger 4-9/sep. with samsung, sony, sharp, epson,toshiba",neutral
sony don't care about their exclusives they never made a theme console for their exclusives,negative
"everybody chill, sony may have a separate global flagship phone in the works unfortunately, there are",neutral
"marvel is in charge now, no way sony can get too involved to mess up the 3rd time, plus they have a good director/writers.",positive
"m$: sony is gobbling up 3rd party exclusives says the company that tried to steal away tomb raider, deadrising, rareware, several indies...",neutral
the new york times reported tuesday that sony executives seemingly softened concussion to placate the nfl,neutral
what evidence is there that says north korea hacked sony or are we just a propaganda machine for the us govt?,neutral
"dunno about tinder style. sony had a thing called +u that sat on top of , i think. looks dead now though",neutral
"sony announced a new 500 gb playstation 4 bundle with uncharted 4; will be in stored on october 9 for $400 in the us, $450 in canada.",positive
huge play by to get out of the shadow of their own goal line on 2nd down. lambert to sony for a 48 yard gain. very accurate pass,positive
i have always loved sony. been watching the kid since his 8th grade.,positive
could hit the 3rd console war with as you wrote about some of the characters that went over to sony's side.,neutral
"[the sun daily] lenovo, sony and marshall london on-trend smartphones: some smartphone trends come and go but ...",positive
"? ""one"" was once voted the 5th most popular song of all time, in a poll conducted by sony",positive
"that's why i think it may be some weird last minute deal with sony, mirrors edge had a solid 12 or so tv's",positive
im going to sony store tomorrow.. may go in debt. i need to get a few things before its really tooooo late,neutral
i am having some major problems with sony so probably no upload tonight i promise 2 tomorrow though. <3 =),neutral
"sony is not anymore first to market with things awesome, but are so good at being 2nd to market but first in value.",positive
"sony has their 1st film of the summer, as war room fought off compton $9.3m to $8.8m.",positive
"immensely enjoyable tv song show ""indian idol jr"" comes to a close today.well done sony, may the best kid win.all the finalists were tops.",positive
uncharted in march may just be the thing to bring me back to sony,positive
should add in october 27 - read that folder on pc from the sony leak with all the scripts & production emails with a bottle of wine & candle,neutral
i do like that sony formed that 3rd party production team to assist with localization of games,positive
"ok... sony has announced its playable games line up for the tokyo games show 2015, september 15. interestingly...",positive
"drew at hitfix says the new bond song will be released tuesday. sony will not tell the performer, but rumors is radiohead.",neutral
"sumo made the game. sony's in-lead. sony decided the game release date, they chose black friday to get more money.",neutral
jk may have found a way to record! using just the ! way to go sony you are winning. hope it works out,positive
"sony: war room, the faith-based movie, led the domestic box office over the u.s. labor day holiday weekend in its 2nd week in the cinemas",positive
"i got no love for sony. they can disappear tomorrow,someone else would just replace them and try harder for consumers.",negative
"football world cup qualifier 2018 iran vs india watch it live on sony six september 8 , 7 pm support indian team",neutral
"sony pictures last monday, sony pictures released the first theatrical trailer for concussion, the studio's...",positive
sony's project morpheus review: a virtual reality headset that may change the future of gaming ...,positive
for any info you would need to contact sony. apologies for any inconvenience this may have caused ^ai,negative
still waiting for my phone to come back from sony..bit lost without it. hopefully back up by thursday. last upload was from my pc.,negative
tomorrow morning it will be usa vs brazil live on sony six hd at 6 am .,positive
sony xperia z5 premium news: sony may have found a solution for the overheating snapdragon 810: ...,positive
it is deepika for tamasha :) not sony he he he...may be sony is one of the brand partners,positive
final vid going up tomorrow most likely. depends on when i can get sony vegas back. just gonna be my 4 fav clips with a simple edit.,neutral
"sam smith to sing title song for ""spectre"" the new james bond film, sony confirms. song out 9-25; movie on nov. 6.",neutral
it would be poetic if nintendo became a sony 2nd party developer. it would also make choosing consoles every generation very easy,positive
"what if tomorrow apple is just like, ""the apple tv is now a game console and we're going to take on sony and microsoft (and nintendo)"" lol.",positive
sony said 1hr 15m unless they got it wrong? idk i'll double check with them tomorrow,neutral
sony's 20th anniversary sale going on now,positive
ms is using the strategy that sony used last gen/spend more on 1st party nd less on marketing deal,positive
"ps4 firmware 3.0 as some of you may know, sony is releasing the 3.0 update for the ps4 sometime in the near",positive
hmmm. diablo iii ultimate evil edition is on sale for sony's 20th anniversary. but don't know anyone playing on ps4 to make it seem worth,neutral
"psn is down for some users, not all. no prior warning from sony either - can you sign in right now? rt.",negative
sony and zeiss showdown! announcement on friday 11 is not just about camcorder and otus!,positive
"20 years ago today, sony released the 1st playstation in the states. we are feeling pretty old in the van today.",positive
sony taunts apple with 'game on' message on playstation's 20th anniversary: sony has also taken noti...,neutral
sony's 20th anniversary for the classic playstation! :d,positive
apple and microsoft the 1st pairing in tech bastards cinematic universe. stay till after the credits to see them eating shawarma with sony.,neutral
"tearing through the blu-ray of star wars: rebels. screw force friday, it's force everyday!",positive
"it may have been our trip to disney and the release of all the new stuff, but jose and i are totally in a star wars mood",positive
this girl all over me cause i'm watching star wars for the 1st time...,positive
dad went into my room and saw me watching star wars. dad: i'll get you the whole saga... and may the force be with you. he's the best <3,positive
force friday: hear new star wars villain kylo ren's voice for the first time ... - digital spy uk,positive
i have practice tomorrow but all i want to do is watch star wars.,positive
"playing star wars monopoly listening the ""star wars - imperial march"" best mood ever",positive
the force is strong in my family. star wars. the force awakens. december my people.,positive
here's what gets wrong about star wars toys and right about force friday via,neutral
all the existing star wars movies are finally being made available as legitimate digital downloads beginning april 10.,positive
"um... i don't know how familiar you are with star wars, but i was at the shops on saturday and it was everywhere.",neutral
we are launching on a monday! every monday at 12pm for the rest of the year get interesting facts about star wars!,positive
"spend a few minutes this morning with one of the loveliest people in the whole star wars family, anthony daniels:",positive
it ends with star wars in december,positive
i'm going to target today solely to look at star wars toys. i missed force friday due to filming.,positive
"star wars sale at games republic, up to 75% off! may the savings be with you.",positive
"sat in the hard rock cafe, with my new star wars t-shirt on, and apparently, i just missed george lucas by a minute... no words",positive
new on ebay!star wars in the usa star wars 30th anniversary saga legends r2-d2 figure,positive
"was it expensive? i'm curious bc i know my brother loves collecting toys and he loves star wars, his bday is in november",positive
brian c. eury want to go see star wars at midnight in december when it comes out and wear one of these?,positive
"if you're married to someone who doesn't like star wars, may divorce be with you.",neutral
everyone should most definitely not go watch star wars on december 18th because it'll be a terrible movie,negative
"just in: star wars fanatics now have a new social media site to interact with each other, called forcebook, may the source be with you. ;)",positive
not about that but there'll be many more things you'll get excited about star wars coming out in japan before dec 18.,positive
they have star wars crocs....i may or may get them tonight,positive
did disney make back 3/4 of the $4 billion it paid for lucasfilms? force friday: $3b in star wars merchandise sales,neutral
hot wheels takes over nyc with a fleet of star wars first order stormtrooper vehicles to celebrate force friday,positive
"since star wars is coming this december, i guess fans should take a moment to appreciate it :)...",positive
why you are never too old for star wars. may the force be with you!,positive
college apps or star wars for the 2nd time today? you already know,positive
"i use star wars, star trek, lord of the rings or a cheesy 80s movie reference in almost every sunday school lesson.",positive
i can't stop watching star wars videos on youtube. i just need december to come now!,positive
"going to read some of the next book, smuggler's run, before going to sleep. i may be reading too much star wars...",positive
in the mood to watch star wars but it's like 2 and i have class tomorrow,neutral
the force awakens: shoppers strike back as star wars mania returns via - may the force be with you!,positive
i haven't told anyone but i bought about $30 in star wars merch on force friday and i'm proud of it,positive
star wars is now out a day early on the 17th? *rushes to book an extra days annual leave*,positive
shop the orange tuesday flash sale for the best halloween costumes: star wars - ewok infant / toddler costume ...,positive
i've had problems with my email and haven't received any information for saturday's star wars secret cinema. can you resend?,negative
chris just said he likes star wars more than me. if i wasn't so relaxed that may have been a big argument haha,neutral
"it's official, star wars to be released in the uk on the 17th of december.",positive
"december 18th is my last day of undergrad, and the day that sisters and star wars is released. it will be a great day.",positive
love it. :) i think my students may be a little over my star wars excitement at present. heh heh,positive
uk will get star wars on the 17th december a day before the u.s. glad i didn't put that holiday in for it yesterday :d,positive
who is watching star wars episode 7 with me at the waterloo imax on dec 17th?,neutral
"star wars is coming to the uk on december 17 - in your face, america!",positive
"december 17th is the day for star wars , most anticipated film of the year??",neutral
my science fiction page teach with star wars. may the learning force be with you.,positive
amazing millennium falcon drone by air hogs! force friday! star wars episode 7: force awakens news want want want,positive
2nd graders in front of bus playing with star wars toys humming the theme song v loud,neutral
yes! star wars to be screened in the uk a day early - now december 17th! one day closer to the force awakens! :-d,positive
some great pictures emerging from the force friday event for star wars!,positive
"i was about to say, uk better not get star wars a week early. but they aren't. 17th is thursday. we get mad shows on thursday's now anyways!",positive
"last friday was and this wednesday the ""journey to star wars: the force awakens"" continues with...",positive
star wars to come to uk a day early - so its countdown from 100 days today!,positive
whenever i'm thinking about negative bs...i remember star wars episode 7 comes out in december...lol we just gotta make till christmas dawg,positive
"big week in the house of flo: 1st day of kindergarten, 1st day of preschool, son turns 6 & gets to watch star wars, & a birthday party!",positive
for a chance to new star wars episode 7 puzzle just rt&flw ends tuesday 08/09/15 6pm,positive
"the fact that rowyso started on star wars day may the 4th be with you, wherever you are",positive
i need somebody to have a star wars marathon with before december!,positive
the new star wars film will be released here a day before the us. the force awakens is out on the 17th of december.,positive
"star wars released a day earlier in the uk,thursday dec 17th... tomorrow,days will be booked off work for this day long remembered.",positive
i think the expectations are so low in avatar land it may be a sleeper. star wars land is going to be tough to do right.,positive
"letting your professors know not to schedule a final on december 17th and 18th because that's the star wars premiere....yeah, i'm that kid",positive
"as a whole was pretty disappointing. not sure who dropped the ball - retailers, hasbro, or disney. it's star wars! c'mon!",negative
toy collectors & star wars fans may the force guide you to my store to find the droid you are looking for!,positive
new comic out tomorrow: journey to star wars: the force awakens: shattered empire & darth vader,positive
disney whips star wars fans into frenzy with 'force friday' event,positive
what star wars game released on force friday are you most interested in?,positive
"btw, did you see that star wars is now out on the 17th dec?",positive
"thursday, september 10th, is star wars reads day! check out our display of star wars titles on the main floor!",neutral
"i give zero shits about star wars, and i'm only mildly excited by bond films. will i be seeing you on rhap tomorrow?!",negative
collector's corner: star wars force friday special edition: let us guide you through the galaxy of star wars ...,neutral
can it be december 18th already? i just wanna watch star wars: the force awakens,positive
4 yr old who attended saturday's star wars event came in today to tell me he made 4 new friends that day.,positive
december 16 & 17 will be the best two consecutive days ever. nxt takeover live in london and then star wars,positive
there's not really anyone i know irl that gets passionate enough about star wars i need to find new friends before dec 18th,positive
"finishing jurassic park for like the 100th time tomorrow. film class is gonna have a lot of reruns for me. all the batman films, star wars..",positive
did you know star wars is coming out with a new movie in december?!?! - third grade boy,positive
"1978. i missed star wars and saturday night fever but made it in time for grease, so there's that.",positive
who wants to go see star wars ep 7 with me in december?,neutral
why is it the imperial march from star wars is playing im my head while i think about a new episode of tonight?? lol,positive
i have a star wars themed birthday party this saturday. but here's the downside..,neutral
"when we go over expectations, i make it fun with star wars-- the jedi code of conduct.",positive
just discovered the complete first season of star wars rebels is available for free on demand. tomorrow's work day just got awesome.,positive
i also cross trade for huddle and bunt. i may quit star wars and want to cross trade. don't want to be suspended again. thoughts?,neutral
can december 17th get here any faster? i want to watch star wars already,positive
"nothing wrong with that. i was in 4th grade when episode i was released. i'd seen the ot before, but tpm is my star wars!",positive
uk release of star wars episode vii: the force awakens to be a day earlier than expected (dec 17),neutral
"now the uk release of star wars: the force awakened has been brought forward to our 10th wedding anniversary, my wife might take the hint?",positive
there is no perhaps when it comes to star wars! you must! may the power of the force compel you to do so!,positive
awaken the force with these star wars themed gifts. like them you may.,positive
my morning alarm is the imperial march from star wars. the feelings of dread act just like coffee.,positive
i want to have a star wars party for my 21st,positive
the uk is getting star wars 1 day earlier! i might have to take the 17th of december off work,positive
the release date for star wars: the force awakens in the uk has been moved to a day earlier than originally advertised on december 17.,neutral
daily video: nyc press event with covergirl and star wars: may the force be with you. i a... via,positive
"it's wednesday! best week in a long time. batman, harley, star wars, saga. ant man toys, tons more. love it!!",positive
result in my 1st 2 packets of the star wars trading cards collection. the dream team in foils!,positive
it gave the impression the whole thing is a beery deconstruction of star wars for adult edgelords. i may read it anyway,negative
and the show goes on! scorpions' sting at 3 p.m. come down; the sun is even peeking through.,positive
he's still wrong about sting :),neutral
"sting will interfere and cost undertaker the match this sunday. or, it's possible we could see the return of the masked kane.",neutral
sting defeat the 9-4 ... on to fullarton tomorrow night to face the,neutral
"ich habe ein -video positiv bewertet: sting saves randy orton from the authority: wwe raw, march 16,",positive
thanks brother i feel the same she's a fighter! she loves sting so i'm going to ask him to sign a card for her saturday lol,positive
"preaching theme this sunday: david & bathsheba -- with band doing cover of sting's ""every breath u take (i'll be watching u)""",positive
"retweet/favorite if you want to see masked kane, sting and the rock return this sunday at !",positive
"sting's in brooklyn. sunday night, it's happening. it's happening!",positive
"doubt it. rumor has it kane may attack lesnae because lesnar ""put him out"" sting shows up sets up taker vs sting mania 32",neutral
[150823 moo party] mamamoo sang sting with live piano 1st then back to mr. pictures/fanarts/messages from moomoos were shown on the screen.,positive
interference seems a foregone conclusion to set up a 3rd match at wm...unless sting shows up tonight and screws taker.,neutral
if sting is on raw tomorrow then there is no doubt he will confront the undertaker to build towards a match at wrestlemania.,neutral
yea definitely but i just saw a report that sting is coming to raw tomorrow and taker going be at raw could be interesting,positive
rumor has it that sting will appear on tomorrow night.,positive
sting could always have another match before. i just read hes gonna be on raw tomorrow.,positive
sting will be on raw tomorrow though so that should set up the taker/sting match,positive
"pwinsider reports that several sources indicate sting flew back to new york city tonight, which could mean he appears at raw tomorrow night.",neutral
"--instead responded to sting's statement. ""hai, sting-san! may the guild with more--",neutral
sting may be apppearing tonight how many times have we heard that in the last 2 months? i'll believe it when i hear the crows.,neutral
if you wanna do rock vs brock and taker vs sting at wm 32. survivor series on his 25th anniversary would be the place to end it,positive
"rumor roundup (aug. 24, 2015): raw tonight, wrestlemania, sting return, divas revolution, more! via .",positive
